Order_No,Time from Pickup to Arrival
Order_No_19248,1486.4
Order_No_12736,1874.3
Order_No_768,850.2
Order_No_15332,1479.0
Order_No_21373,1538.2
Order_No_14573,2729.6
Order_No_6731,1985.0
Order_No_18436,1366.7
Order_No_2288,1437.3
Order_No_9063,2297.9
Order_No_4814,1647.5
Order_No_16747,2389.6
Order_No_6376,1427.7
Order_No_1199,1257.3
Order_No_17119,1235.0
Order_No_14832,1347.0
Order_No_12321,426.0
Order_No_24820,1416.8
Order_No_6065,1553.2
Order_No_13176,285.0
Order_No_23557,794.1
Order_No_20488,717.6
Order_No_24214,1493.9
Order_No_21206,1719.4
Order_No_1930,976.0
Order_No_28180,2052.0
Order_No_13329,535.3
Order_No_19004,1285.9
Order_No_27510,2040.1
Order_No_25394,1531.7
Order_No_11299,3186.3
Order_No_21269,3311.0
Order_No_3565,2888.8
Order_No_6473,1012.1
Order_No_6258,888.0
Order_No_27480,1675.6
Order_No_23302,1597.2
Order_No_16731,1943.3
Order_No_21353,1761.3
Order_No_10610,2031.2
Order_No_5930,1223.3
Order_No_5171,2352.8
Order_No_21590,1552.9
Order_No_643,1465.6
Order_No_6308,1741.5
Order_No_16885,1911.9
Order_No_5421,2158.2
Order_No_21864,2247.0
Order_No_11618,1369.2
Order_No_27514,2535.9
Order_No_26356,2085.5
Order_No_20174,650.0
Order_No_23193,3731.9
Order_No_17568,1537.3
Order_No_25549,1666.7
Order_No_23942,1556.0
Order_No_25817,1811.3
Order_No_16582,2830.4
Order_No_25259,1829.5
Order_No_7311,921.6
Order_No_6198,1753.4
Order_No_18810,1776.9
Order_No_26162,1486.5
Order_No_4192,1413.4
Order_No_28224,1108.5
Order_No_15612,6.0
Order_No_21556,1549.3
Order_No_15698,1790.7
Order_No_2619,1208.0
Order_No_10710,1191.9
Order_No_17906,1292.8
Order_No_24831,1172.4
Order_No_15312,2613.0
Order_No_17599,1080.3
Order_No_8759,474.2
Order_No_18102,2475.7
Order_No_19596,1630.6
Order_No_18174,1097.8
Order_No_18641,1927.6
Order_No_7568,969.3
Order_No_23561,1070.8
Order_No_21212,579.1
Order_No_19352,1744.6
Order_No_13038,2380.8
Order_No_14688,1477.5
Order_No_5155,747.2
Order_No_26963,1887.7
Order_No_25662,2925.4
Order_No_22324,1747.3
Order_No_4080,2476.3
Order_No_2551,1436.0
Order_No_6576,2471.0
Order_No_23150,1289.0
Order_No_12488,1633.5
Order_No_14209,5.0
Order_No_14944,2526.4
Order_No_105,1797.2
Order_No_6400,221.3
Order_No_23670,553.3
Order_No_11927,2800.5
Order_No_672,1890.8
Order_No_24305,1269.8
Order_No_23438,336.9
Order_No_11297,3499.2
Order_No_25875,770.0
Order_No_2483,1637.2
Order_No_22525,2349.1
Order_No_85,1596.5
Order_No_25252,253.7
Order_No_16007,1561.2
Order_No_10988,2125.0
Order_No_15321,1521.75
Order_No_16080,846.7
Order_No_11090,1417.0
Order_No_21090,1338.4
Order_No_1621,1543.8
Order_No_24456,1720.0
Order_No_5036,2014.45
Order_No_15675,2318.8
Order_No_5672,1218.2
Order_No_4333,383.4
Order_No_20768,977.5
Order_No_12336,1792.0
Order_No_12293,1017.4
Order_No_6103,1106.0
Order_No_25920,7.0
Order_No_2159,1259.4
Order_No_13215,509.0
Order_No_15620,2230.8
Order_No_27406,712.5
Order_No_3092,2607.7
Order_No_21088,649.5
Order_No_6448,2064.3
Order_No_23769,1400.7
Order_No_2640,1414.9
Order_No_19108,1624.0
Order_No_2796,1810.85
Order_No_16473,929.3
Order_No_2754,1239.5
Order_No_2678,1217.3
Order_No_12053,1790.7
Order_No_17071,1405.5
Order_No_4656,1338.9
Order_No_27607,1473.8
Order_No_6709,2202.6
Order_No_25036,1219.3
Order_No_16694,739.1
Order_No_24366,1828.9
Order_No_9590,2385.5
Order_No_5658,1962.0
Order_No_13152,571.8
Order_No_27538,850.2
Order_No_2782,1233.8
Order_No_1311,647.0
Order_No_10249,2241.4
Order_No_2624,1639.8
Order_No_27601,2765.0
Order_No_4252,1552.1
Order_No_22149,2023.6
Order_No_2699,1884.9
Order_No_12371,1564.7
Order_No_14848,1360.3
Order_No_10438,1238.6
Order_No_23513,1907.1
Order_No_9878,1324.85
Order_No_9218,1306.4
Order_No_28256,1816.2
Order_No_25676,1214.6
Order_No_26922,2637.4
Order_No_7589,458.0
Order_No_124,1891.8
Order_No_14779,1064.4
Order_No_26218,1123.4
Order_No_19977,1170.5
Order_No_14440,1012.7
Order_No_9561,1651.9
Order_No_9009,737.6
Order_No_20146,1069.0
Order_No_7718,915.0
Order_No_16083,1470.35
Order_No_3126,1772.3
Order_No_801,455.2
Order_No_5373,1086.6
Order_No_7421,1013.2
Order_No_602,2628.2
Order_No_9418,1693.0
Order_No_27144,2031.9
Order_No_16792,687.7
Order_No_21252,2042.8
Order_No_21129,1498.6
Order_No_18774,2024.0
Order_No_20974,1459.0
Order_No_5267,744.0
Order_No_25107,1174.9
Order_No_611,2070.0
Order_No_13596,1508.0
Order_No_465,903.8
Order_No_2236,2242.3
Order_No_3411,1059.9
Order_No_17613,883.0
Order_No_27381,2056.2
Order_No_26072,1205.0
Order_No_19414,1952.7
Order_No_21954,2857.0
Order_No_22538,1623.6
Order_No_10756,1686.7333333333331
Order_No_23756,1899.6
Order_No_3807,2182.5
Order_No_18694,1255.5
Order_No_27245,1271.3
Order_No_12437,779.6
