Rider Id,No_Of_Orders,Age,Average_Rating,No_of_Ratings
Rider_Id_396,2946,2298,14,1159
Rider_Id_479,360,951,13.5,176
Rider_Id_648,1746,821,14.3,466
Rider_Id_753,314,980,12.5,75
Rider_Id_335,536,1113,13.7,156
Rider_Id_720,2608,1798,13.2,504
Rider_Id_95,3464,1304,13.4,950
Rider_Id_122,4831,2124,14.1,1469
Rider_Id_900,1936,1436,14.2,610
Rider_Id_196,550,2379,13.4,224
Rider_Id_606,2711,1412,14.3,519
Rider_Id_742,593,966,14.3,237
Rider_Id_101,1299,986,13.1,287
Rider_Id_650,4375,2362,14.4,1152
Rider_Id_131,2183,887,14.1,393
Rider_Id_294,5780,2625,13.5,246
Rider_Id_350,575,2068,13.3,184
Rider_Id_676,2095,1358,14.1,667
Rider_Id_633,929,1070,13.6,258
Rider_Id_865,2178,1010,14.1,746
Rider_Id_791,688,1021,13.9,216
Rider_Id_408,2212,1447,14.2,542
Rider_Id_406,2853,1618,14.2,1030
Rider_Id_236,431,1067,13.4,159
Rider_Id_397,2169,1236,14.2,589
Rider_Id_589,2295,1166,14.2,596
Rider_Id_906,3571,1236,14.2,968
Rider_Id_432,1637,1309,13.8,549
Rider_Id_757,2101,1066,12.3,229
Rider_Id_264,2691,2519,13.9,886
Rider_Id_761,1638,934,13.7,413
Rider_Id_219,1672,1244,13.8,477
Rider_Id_340,3579,1286,13.4,963
Rider_Id_89,2208,1281,14,585
Rider_Id_409,2058,1046,14.1,652
Rider_Id_493,4705,2154,14.1,1511
Rider_Id_486,5538,1634,14.2,2226
Rider_Id_586,4634,2173,14,800
Rider_Id_543,721,984,13.8,161
Rider_Id_6,2959,1156,14.1,655
Rider_Id_581,3529,1218,13.4,905
Rider_Id_347,2451,1821,14,1101
Rider_Id_103,680,982,14,207
Rider_Id_241,213,1012,14,76
Rider_Id_437,2966,2053,14,1147
Rider_Id_618,414,985,13.4,139
Rider_Id_580,2782,1629,14.2,934
Rider_Id_74,1830,982,14.3,423
Rider_Id_644,4663,1924,14.2,1403
Rider_Id_312,390,986,14,142
Rider_Id_929,2823,2296,13.9,1159
Rider_Id_813,2728,1359,14.2,845
Rider_Id_923,1665,1527,14.1,599
Rider_Id_56,2866,1788,13.2,533
Rider_Id_345,3036,1426,14.2,955
Rider_Id_663,4342,2634,14.4,1048
Rider_Id_549,560,981,13.4,164
Rider_Id_124,3288,1204,14.2,1056
Rider_Id_147,2486,806,14.1,516
Rider_Id_207,2180,1021,14.1,661
Rider_Id_45,1988,972,14.3,358
Rider_Id_279,2312,1082,14.1,370
Rider_Id_531,2222,1162,14,574
Rider_Id_16,4315,2408,14.3,1181
Rider_Id_446,2761,1749,13.2,673
Rider_Id_668,2305,703,13.1,91
Rider_Id_100,362,910,13.4,109
Rider_Id_771,2146,1179,14.2,557
Rider_Id_449,2104,1149,14.3,525
Rider_Id_425,6569,2170,14.2,1983
Rider_Id_692,4933,1638,14.2,1086
Rider_Id_916,4966,3225,13.4,1210
Rider_Id_410,2087,1019,13.7,362
Rider_Id_290,4214,1850,14.2,1096
Rider_Id_268,1714,1980,13.2,357
Rider_Id_159,243,911,14.1,84
Rider_Id_266,4285,1392,14.2,1162
Rider_Id_285,78,987,13.7,37
Rider_Id_671,5713,1636,14.2,2255
Rider_Id_940,2713,1613,14.1,865
Rider_Id_265,4371,1133,14.2,1262
Rider_Id_729,125,940,13.5,48
Rider_Id_338,2305,944,13.9,449
Rider_Id_948,1895,1390,12.3,213
Rider_Id_762,5230,1951,14.1,1528
Rider_Id_765,921,985,13.5,192
Rider_Id_153,233,982,13.9,85
Rider_Id_658,3906,2215,14.5,714
Rider_Id_779,5525,2145,13.7,1364
Rider_Id_522,4321,1323,14.2,1259
Rider_Id_304,4861,2898,13.4,1156
Rider_Id_223,4655,3202,13.4,1223
Rider_Id_751,1982,1211,13.8,482
Rider_Id_478,1912,2245,14.3,581
Rider_Id_874,2865,1494,14.2,843
Rider_Id_789,4681,1908,14.1,1428
Rider_Id_875,2719,1509,13.3,534
Rider_Id_886,2728,1474,14.2,849
Rider_Id_280,2466,854,13.8,353
Rider_Id_654,3453,1063,13.3,831
Rider_Id_358,4687,2445,14,782
Rider_Id_937,2568,966,14.1,351
Rider_Id_881,2187,853,13.1,60
Rider_Id_216,2087,1033,14.1,641
Rider_Id_749,283,986,13.9,104
Rider_Id_521,5523,2234,13.6,1265
Rider_Id_510,6571,2478,13.9,2116
Rider_Id_65,3054,1527,13.9,995
Rider_Id_737,2751,2639,13.9,655
Rider_Id_942,5082,1525,14.2,1064
Rider_Id_608,5538,2642,13.5,255
Rider_Id_912,2678,2478,13.9,926
Rider_Id_226,1617,2254,13.8,304
Rider_Id_782,308,971,13.8,114
Rider_Id_546,2848,2272,13.9,1053
Rider_Id_631,5315,1942,14.2,1340
Rider_Id_535,4603,2360,14.3,1242
