Order_No,Time from Pickup to Arrival
Order_No_19248,567
Order_No_12736,4903
Order_No_768,5649
Order_No_15332,
Order_No_21373,
Order_No_14573,
Order_No_6731,
Order_No_18436,
Order_No_2288,
Order_No_9063,
Order_No_4814,
Order_No_16747,
Order_No_6376,
Order_No_1199,
Order_No_17119,
Order_No_14832,
Order_No_12321,
Order_No_24820,
Order_No_6065,
Order_No_13176,
Order_No_23557,
Order_No_20488,
Order_No_24214,
Order_No_21206,
Order_No_1930,
Order_No_28180,
Order_No_13329,
Order_No_19004,
Order_No_27510,
Order_No_25394,
Order_No_11299,
Order_No_21269,
Order_No_3565,
Order_No_6473,
Order_No_6258,
Order_No_27480,
Order_No_23302,
Order_No_16731,
Order_No_21353,
Order_No_10610,
Order_No_5930,
Order_No_5171,
Order_No_21590,
Order_No_643,
Order_No_6308,
Order_No_16885,
Order_No_5421,
Order_No_21864,
Order_No_11618,
Order_No_27514,
Order_No_26356,
Order_No_20174,
Order_No_23193,
Order_No_17568,
Order_No_25549,
Order_No_23942,
Order_No_25817,
Order_No_16582,
Order_No_25259,
Order_No_7311,
Order_No_6198,
Order_No_18810,
Order_No_26162,
Order_No_4192,
Order_No_28224,
Order_No_15612,
Order_No_21556,
Order_No_15698,
Order_No_2619,
Order_No_10710,
Order_No_17906,
Order_No_24831,
Order_No_15312,
Order_No_17599,
Order_No_8759,
Order_No_18102,
Order_No_19596,
Order_No_18174,
Order_No_18641,
Order_No_7568,
Order_No_23561,
Order_No_21212,
Order_No_19352,
Order_No_13038,
Order_No_14688,
Order_No_5155,
Order_No_26963,
Order_No_25662,
Order_No_22324,
Order_No_4080,
Order_No_2551,
Order_No_6576,
Order_No_23150,
Order_No_12488,
Order_No_14209,
Order_No_14944,
Order_No_105,
Order_No_6400,
Order_No_23670,
Order_No_11927,
Order_No_672,
Order_No_24305,
Order_No_23438,
Order_No_11297,
Order_No_25875,
Order_No_2483,
Order_No_22525,
Order_No_85,
Order_No_25252,
Order_No_16007,
Order_No_10988,
Order_No_15321,
Order_No_16080,
Order_No_11090,
Order_No_21090,
Order_No_1621,
Order_No_24456,
Order_No_5036,
Order_No_15675,
Order_No_5672,
Order_No_4333,
Order_No_20768,
Order_No_12336,
Order_No_12293,
Order_No_6103,
Order_No_25920,
Order_No_2159,
Order_No_13215,
Order_No_15620,
Order_No_27406,
Order_No_3092,
Order_No_21088,
Order_No_6448,
Order_No_23769,
Order_No_2640,
Order_No_19108,
Order_No_2796,
Order_No_16473,
Order_No_2754,
Order_No_2678,
Order_No_12053,
Order_No_17071,
Order_No_4656,
Order_No_27607,
Order_No_6709,
Order_No_25036,
Order_No_16694,
Order_No_24366,
Order_No_9590,
Order_No_5658,
Order_No_13152,
Order_No_27538,
Order_No_2782,
Order_No_1311,
Order_No_10249,
Order_No_2624,
Order_No_27601,
Order_No_4252,
Order_No_22149,
Order_No_2699,
Order_No_12371,
Order_No_14848,
Order_No_10438,
Order_No_23513,
Order_No_9878,
Order_No_9218,
Order_No_28256,
Order_No_25676,
Order_No_26922,
Order_No_7589,
Order_No_124,
Order_No_14779,
Order_No_26218,
Order_No_19977,
Order_No_14440,
Order_No_9561,
Order_No_9009,
Order_No_20146,
Order_No_7718,
Order_No_16083,
Order_No_3126,
Order_No_801,
Order_No_5373,
Order_No_7421,
Order_No_602,
Order_No_9418,
Order_No_27144,
Order_No_16792,
Order_No_21252,
Order_No_21129,
Order_No_18774,
Order_No_20974,
Order_No_5267,
Order_No_25107,
Order_No_611,
Order_No_13596,
Order_No_465,
Order_No_2236,
Order_No_3411,
Order_No_17613,
Order_No_27381,
Order_No_26072,
Order_No_19414,
Order_No_21954,
Order_No_22538,
Order_No_10756,
Order_No_23756,
Order_No_3807,
Order_No_18694,
Order_No_27245,
Order_No_12437,
Order_No_27751,
Order_No_22832,
Order_No_3904,
Order_No_5230,
Order_No_13968,
Order_No_23129,
Order_No_25454,
