Order_No,Time from Pickup to Arrival
Order_No_19248,1737.9259832298146
Order_No_2699,2757.744878972614
Order_No_21486,1837.8497216591963
Order_No_19336,2370.4070540394755
Order_No_20374,2569.7588962580407
Order_No_9830,1318.8230266827798
Order_No_17505,1518.9473694833687
Order_No_23802,2659.908659842815
Order_No_12736,1421.5530580181082
Order_No_6400,2225.9391222439995
Order_No_25920,709.723986323321
Order_No_24873,1483.3744449278895
Order_No_4511,1388.8465860090917
Order_No_13686,2336.7353319091376
Order_No_19317,1727.4672210446977
Order_No_2680,1711.6379557447942
Order_No_7097,1321.438656721583
Order_No_22701,1365.8969968924357
Order_No_4881,1980.03947527045
Order_No_6340,1295.5642652361748
Order_No_27915,1192.8011718097393
Order_No_768,1565.2144933937307
Order_No_28256,1949.0872999344544
Order_No_16940,1800.9504006202737
Order_No_4860,1483.4854795673573
Order_No_19055,1077.396912833152
Order_No_21272,1496.482763449307
Order_No_2131,1571.1052475653007
Order_No_26647,819.3364107116265
Order_No_15717,2124.198138301656
Order_No_7499,1601.3398805777458
Order_No_19277,1247.7906772980677
Order_No_21254,3665.3269761895713
Order_No_15403,1523.4882656933387
Order_No_3402,2659.7983795637406
Order_No_20766,727.9505570948812
Order_No_14859,1072.3611240009607
Order_No_7290,876.0620038505361
Order_No_15168,1758.5974828878002
Order_No_13427,1731.8018174719928
Order_No_20894,2070.673671312935
Order_No_10827,1632.1549428930737
Order_No_9447,1662.1046832939371
Order_No_15217,2635.4458227525333
Order_No_2361,1751.1541488116297
Order_No_12210,1311.1222035355715
Order_No_15207,2816.1829101046287
Order_No_27745,2635.318406614542
Order_No_18450,1524.968132101233
Order_No_21282,1025.1939887575445
Order_No_2842,1276.4433548910697
Order_No_22280,1628.3196570665796
Order_No_15535,1701.2140298817856
Order_No_382,757.148476021107
Order_No_21070,1958.3572554059492
Order_No_2603,2852.5609288494697
Order_No_16558,1021.3788648834573
Order_No_24712,1451.6297071931858
Order_No_26578,2332.3690407875015
Order_No_21638,880.2611641856302
Order_No_22046,1272.7102424544742
Order_No_23183,1932.8137432601477
Order_No_1786,2616.128696058997
Order_No_17033,1457.8100306403403
Order_No_6084,1047.0956068947462
Order_No_5317,1263.9489346812338
Order_No_15332,1162.0861975044852
Order_No_1199,1645.2247690406832
Order_No_21864,2591.6121107541276
Order_No_611,2488.488654968309
Order_No_18430,2137.5765620190855
Order_No_8474,2155.52030964257
Order_No_6339,1316.6352969523284
Order_No_14947,557.7109697901761
Order_No_16077,2133.556478631217
Order_No_21778,588.0232806855909
Order_No_19143,1555.2727110963776
Order_No_25000,2531.4407683758827
Order_No_340,1157.7294954830538
Order_No_8955,1786.6230704132481
Order_No_6197,1981.0176751268618
Order_No_1974,2798.1371814375957
Order_No_22457,1966.0737928346862
Order_No_24241,2345.7678703539236
Order_No_23433,2724.4032665557756
Order_No_21373,1100.7316671542178
Order_No_15311,1110.1604574432367
Order_No_12748,1495.374769297822
Order_No_11668,1641.6132878695691
Order_No_9978,1894.1270846584923
Order_No_17127,462.45872064408417
Order_No_14906,2897.623902169928
Order_No_19354,1134.702194400563
Order_No_15209,527.1686926892773
Order_No_12025,992.5847146227959
Order_No_26437,1432.2221055609486
Order_No_4137,1250.969847771195
Order_No_12169,1396.3367046000217
Order_No_104,1598.2810029344025
Order_No_2403,630.203391425441
Order_No_8736,1441.94140248594
Order_No_15145,1447.6177247411042
Order_No_25380,1412.8800142732177
Order_No_7545,2578.3679898946693
Order_No_14573,2114.7910735882524
Order_No_24305,1382.3102911578535
Order_No_23769,1496.8790955572154
Order_No_23205,2417.813823918489
Order_No_20815,1217.458068141675
Order_No_8308,1459.0304682534857
Order_No_20121,1751.8044169790753
