iter	RMSE
0	957.6704292
1	948.5434858
2	940.0449395
3	931.734022
4	924.1531311
5	916.8805213
6	910.1033741
7	903.5426119
8	897.4602486
9	891.6728726
10	885.8406144
11	880.1958046
12	874.9685226
13	869.7900065
14	865.2875751
15	860.8967396
16	856.626195
17	852.4013008
18	848.4203645
19	844.5156942
20	841.0901525
21	837.8531219
22	834.7453864
23	831.6705603
24	828.8932788
25	826.0104481
26	823.0856419
27	820.2544287
28	817.6529578
29	815.2037499
30	813.0068824
31	810.6963783
32	808.5749814
33	806.5596136
34	804.2638972
35	802.4010954
36	800.5236891
37	799.0030386
38	797.4672522
39	795.7990866
40	794.3520345
41	793.580867
42	792.1964344
43	790.9253736
44	789.5668096
45	788.5444457
46	787.4682731
47	786.3979851
48	785.3954326
49	784.3359231
50	783.2372071
51	782.2096346
52	781.2438869
53	780.3672789
54	779.4669985
55	778.5296748
56	777.7836692
57	777.0164995
58	776.3292772
59	775.6963813
60	774.9987228
61	774.456525
62	773.886589
63	773.0354335
64	772.4121799
65	771.6828711
66	771.0626945
67	770.4654082
68	770.0751106
69	769.4923597
70	768.7785726
71	768.2665064
72	767.6275791
73	767.1359872
74	766.5934039
75	766.0806765
76	765.5060241
77	765.1120817
78	764.7290158
79	764.3178444
80	763.9051731
81	763.5542607
82	763.1307896
83	762.8079346
84	762.2978952
85	761.9119645
86	761.5204578
87	761.246096
88	760.7707104
89	760.4715008
90	760.178082
91	759.8175531
92	759.2510003
93	759.0071274
94	758.7200534
95	758.5103132
96	758.2016031
97	757.9743285
98	757.6893565
99	757.4805838
100	756.9820824
101	756.637995
102	756.4689517
103	756.2394594
104	755.9242925
105	755.6727956
106	755.4964098
107	755.2090804
108	754.9457711
109	754.5841749
110	754.3902175
111	753.967544
112	753.7461034
113	753.5780765
114	753.4073507
115	753.252985
116	752.9828157
117	752.7806505
118	752.5938184
119	752.4522044
120	752.2144166
121	752.0437051
122	751.82895
123	751.6596018
124	751.4850967
125	751.2628796
126	750.9294274
127	750.7869427
128	750.6509019
129	750.5153966
130	750.2865317
131	750.0339102
132	749.8643659
133	749.6795908
134	749.2866358
135	748.9752007
136	748.72253
137	748.4074271
138	748.1846581
139	748.0375388
140	747.726088
141	747.385948
142	747.2069147
143	747.1213133
144	746.8913264
145	746.7131176
146	746.4299296
147	746.3054801
148	746.0516037
149	745.8000446
150	745.6509018
151	745.4555002
152	745.2191912
153	745.1100022
154	744.9078551
155	744.6852799
156	744.5518105
157	744.3787217
158	744.2780225
159	744.1960845
160	743.9981465
161	743.9015668
162	743.7070383
163	743.6124388
164	743.3083498
165	743.1399063
166	743.0624181
167	742.8095366
168	742.6458606
169	742.4690931
170	742.2702025
171	742.2219008
172	742.0486013
173	741.9373065
174	741.7154424
175	741.6291746
176	741.4529152
177	741.2989606
178	741.1572613
179	740.9081089
180	740.7540271
181	740.6196185
182	740.470513
183	740.4060025
184	740.1964101
185	740.0357999
186	739.9905069
187	739.986049
188	739.8364283
189	739.7098828
190	739.6361996
191	739.4997314
192	739.4308908
193	739.3494418
194	739.1958699
195	739.1188597
196	739.0468632
197	738.8366015
198	738.7566404
199	738.7197938
200	738.5675298
201	738.4758663
202	738.276333
203	738.1705587
204	738.083425
205	738.0328738
206	737.9538969
207	737.8165599
208	737.733449
209	737.4791594
210	737.4037777
211	737.3228928
212	737.2956786
