iter	Passed	Remaining
0	13	13897
1	26	13104
2	39	13231
3	51	12743
4	63	12628
5	76	12616
6	83	11892
7	95	11846
8	107	11861
9	119	11815
10	131	11781
11	143	11808
12	158	12048
13	170	11998
14	182	12001
15	195	12016
16	206	11962
17	218	11915
18	230	11901
19	242	11862
20	252	11761
21	263	11726
22	271	11530
23	282	11500
24	294	11466
25	305	11440
26	317	11431
27	329	11423
28	341	11447
29	358	11593
30	375	11722
31	385	11651
32	396	11614
33	407	11572
34	418	11528
35	431	11556
36	444	11565
37	455	11528
38	467	11522
39	479	11501
40	490	11467
41	494	11275
42	505	11243
43	517	11236
44	528	11223
45	536	11119
46	545	11062
47	557	11062
48	568	11038
49	581	11041
50	591	11012
51	603	11002
52	614	10979
53	624	10947
54	636	10937
55	647	10912
56	659	10907
57	670	10882
58	681	10869
59	692	10846
60	703	10824
61	714	10813
62	727	10824
63	737	10782
64	748	10759
65	758	10739
66	772	10764
67	786	10777
68	800	10799
69	813	10813
70	827	10824
71	842	10854
72	854	10847
73	868	10866
74	881	10867
75	894	10878
76	905	10858
77	918	10852
78	929	10832
79	940	10813
80	952	10810
81	963	10782
82	977	10803
83	986	10752
84	999	10762
85	1014	10779
86	1028	10797
87	1042	10808
88	1056	10812
89	1071	10832
90	1081	10801
91	1093	10795
92	1106	10793
93	1119	10788
94	1130	10767
95	1143	10769
96	1155	10756
97	1170	10771
98	1183	10766
99	1194	10748
100	1206	10738
101	1223	10769
102	1234	10747
103	1246	10741
104	1258	10727
105	1270	10717
106	1285	10728
107	1297	10715
108	1311	10717
109	1322	10699
110	1335	10693
111	1348	10693
112	1360	10677
113	1376	10695
114	1389	10692
115	1399	10668
116	1414	10674
117	1427	10668
118	1438	10650
119	1446	10609
120	1458	10593
121	1469	10578
122	1480	10558
123	1495	10567
124	1507	10554
125	1519	10538
126	1531	10525
127	1544	10521
128	1557	10514
129	1569	10505
130	1579	10480
131	1591	10467
132	1604	10457
133	1617	10451
134	1627	10430
135	1639	10413
136	1649	10390
137	1660	10370
138	1673	10367
139	1687	10365
140	1698	10348
141	1710	10333
142	1722	10322
143	1733	10304
144	1744	10288
145	1758	10285
146	1772	10283
147	1784	10270
148	1796	10261
149	1808	10247
150	1821	10242
151	1832	10223
152	1844	10211
153	1859	10213
154	1871	10201
155	1882	10184
156	1893	10167
157	1906	10157
158	1919	10150
159	1932	10146
160	1942	10124
161	1957	10123
162	1969	10115
163	1980	10095
164	1992	10083
165	2004	10069
166	2017	10063
167	2031	10060
168	2044	10053
169	2056	10042
170	2067	10025
171	2077	10001
172	2088	9985
173	2101	9977
174	2113	9961
175	2125	9948
176	2141	9956
177	2153	9945
178	2166	9934
179	2178	9924
180	2191	9918
181	2203	9901
182	2216	9894
183	2227	9879
184	2238	9863
185	2250	9846
186	2261	9832
187	2272	9814
188	2288	9818
189	2299	9801
190	2310	9787
191	2322	9774
192	2332	9753
193	2346	9750
194	2364	9760
195	2375	9743
196	2392	9753
197	2404	9737
198	2414	9720
199	2428	9714
200	2442	9710
201	2458	9712
202	2469	9696
203	2482	9686
204	2499	9691
205	2511	9680
206	2521	9660
207	2537	9663
208	2554	9666
209	2566	9653
210	2579	9647
211	2589	9626
212	2599	9603
213	2615	9608
214	2629	9599
215	2642	9591
216	2651	9566
217	2665	9563
218	2678	9553
219	2698	9566
220	2714	9569
221	2727	9560
222	2740	9549
223	2753	9540
224	2765	9525
225	2777	9511
226	2791	9506
227	2804	9495
228	2814	9476
229	2827	9466
230	2840	9454
231	2853	9444
232	2864	9429
233	2878	9421
234	2889	9407
235	2901	9393
236	2914	9382
237	2931	9386
238	2942	9370
239	2955	9358
240	2966	9341
241	2977	9326
242	2990	9314
243	3001	9298
244	3014	9288
245	3025	9273
246	3036	9258
247	3050	9250
248	3065	9245
249	3070	9210
250	3081	9194
251	3093	9181
252	3106	9170
253	3119	9162
254	3128	9139
255	3142	9133
256	3157	9128
257	3174	9129
258	3185	9114
259	3197	9101
260	3208	9085
261	3219	9069
262	3225	9038
263	3238	9028
264	3251	9017
265	3258	8992
266	3275	8992
267	3284	8970
268	3297	8960
269	3310	8951
270	3322	8936
271	3334	8924
272	3345	8909
273	3355	8890
274	3367	8877
275	3380	8866
276	3394	8859
277	3407	8849
278	3419	8836
