Order_No,Time from Pickup to Arrival
Order_No_19248,1697.9422520364528
Order_No_2699,2848.895125302979
Order_No_21486,1872.2834020979462
Order_No_19336,2384.12479290575
Order_No_20374,2573.2888333762303
Order_No_9830,1236.1271441748256
Order_No_17505,1419.3733766250139
Order_No_23802,2590.3031879141827
Order_No_12736,1390.8263497256337
Order_No_6400,2329.4837086542548
Order_No_25920,806.8342041178175
Order_No_24873,1646.2549674569952
Order_No_4511,1436.012811136786
Order_No_13686,2545.640314092166
Order_No_19317,1777.1387471432708
Order_No_2680,1795.5280188899446
Order_No_7097,1346.3351267668925
Order_No_22701,1440.5986731637156
Order_No_4881,1990.6649927641083
Order_No_6340,1287.744136413017
Order_No_27915,1196.2856055098193
Order_No_768,1611.9878224722315
Order_No_28256,1973.5835173629005
Order_No_16940,1844.3999903675258
Order_No_4860,1529.53871148385
Order_No_19055,1150.2578101819586
Order_No_21272,1582.7758669394661
Order_No_2131,1679.8600626757213
Order_No_26647,875.0228870934906
Order_No_15717,2164.455963655676
Order_No_7499,1560.430349727124
Order_No_19277,1349.8325954427225
Order_No_21254,3807.0897661543236
Order_No_15403,1572.3323162214633
Order_No_3402,2598.4703068971976
Order_No_20766,768.8939755259155
Order_No_14859,1019.4575445875079
Order_No_7290,925.6279668121135
Order_No_15168,1838.4963557355616
Order_No_13427,1798.4294574208195
Order_No_20894,2097.5763847669455
Order_No_10827,1642.6956958770102
Order_No_9447,1738.7449341985093
Order_No_15217,2595.7306378571066
Order_No_2361,1938.488847039083
Order_No_12210,1360.7400580116168
Order_No_15207,2765.6691372732785
Order_No_27745,2738.771397698691
Order_No_18450,1622.665625476576
Order_No_21282,1063.5858602672097
Order_No_2842,1304.421597169259
Order_No_22280,1757.1272164162883
Order_No_15535,1840.360438929209
Order_No_382,788.194342661395
Order_No_21070,1993.1545907128368
Order_No_2603,2812.350425368948
Order_No_16558,1049.689529797365
Order_No_24712,1488.9123894304334
Order_No_26578,2301.6790528990705
Order_No_21638,962.4929787521628
Order_No_22046,1279.0660702642592
Order_No_23183,1917.8710159690393
Order_No_1786,2626.8439594288884
Order_No_17033,1567.1959965493247
Order_No_6084,1165.0636125362307
Order_No_5317,1371.4820134529211
Order_No_15332,1166.681006750918
Order_No_1199,1631.733835648117
Order_No_21864,2517.669334247627
Order_No_611,2443.166640912978
Order_No_18430,2107.3824267798755
Order_No_8474,2114.669826910445
Order_No_6339,1367.9659094447018
Order_No_14947,679.7939342222504
Order_No_16077,2188.78568070676
Order_No_21778,646.1119207593487
Order_No_19143,1646.7845923761247
Order_No_25000,2509.113962960587
Order_No_340,1203.6092249760832
Order_No_8955,1766.5845454181074
Order_No_6197,1990.9999826203289
Order_No_1974,2750.7473100994744
Order_No_22457,2010.6632097172935
Order_No_24241,2373.7187752478226
Order_No_23433,2561.0680906443636
Order_No_21373,1134.1570916433316
Order_No_15311,1117.3773174724938
Order_No_12748,1596.530095194628
Order_No_11668,1650.2063473459632
Order_No_9978,1853.9080507221051
Order_No_17127,477.29111470906184
Order_No_14906,2833.533195487164
Order_No_19354,1252.787403171211
Order_No_15209,649.7339907498341
Order_No_12025,1007.0190878250746
Order_No_26437,1456.811423723315
Order_No_4137,1309.0900774935978
Order_No_12169,1450.6636993225677
Order_No_104,1624.5460793478933
Order_No_2403,656.8726340384743
Order_No_8736,1519.2043004007623
Order_No_15145,1492.730121682229
Order_No_25380,1485.8510120846242
Order_No_7545,2585.622066455671
Order_No_14573,2179.342697807744
Order_No_24305,1390.1995735445182
Order_No_23769,1544.3137622361528
Order_No_23205,2444.4567032930963
Order_No_20815,1242.9091804673803
Order_No_8308,1482.619781282609
Order_No_20121,1772.5200647443241
Order_No_20598,2151.549397703803
Order_No_2574,1851.8178167009514
Order_No_1601,1510.9264729096842
Order_No_19084,1111.618788292354
Order_No_23351,1138.5360860048484
Order_No_17426,2060.471957095719
Order_No_3798,1459.6146208855646
Order_No_20354,2644.953890076322
Order_No_24096,1798.366233255819
Order_No_21215,1531.5328431378268
Order_No_16573,1128.7741888551482
Order_No_6731,2237.016495875908
Order_No_3166,2185.467590945897
Order_No_18679,1657.6059836019544
Order_No_23900,2181.336285815649
Order_No_18436,1587.0959083844014
Order_No_1450,619.9367237326561
Order_No_9797,1820.8200413445156
Order_No_21124,1625.7951088768377
Order_No_27808,1181.9235391193004
Order_No_15877,1284.2639961849006
Order_No_14360,1335.2671853279448
Order_No_6247,615.0334504828709
Order_No_1823,1932.6648252363314
Order_No_8264,1767.3048496206077
Order_No_4106,1640.0468587409785
Order_No_2288,1486.6646260437929
Order_No_26162,937.7856131201988
Order_No_16072,1745.1238125412979
Order_No_24205,526.8553079608243
Order_No_3870,873.3014062562316
Order_No_7297,1772.5319831564045
Order_No_26757,1324.8742359224236
Order_No_27741,558.4712320699132
Order_No_15767,1373.616170462028
Order_No_11781,1945.4948615514334
Order_No_8813,1231.2488346136506
Order_No_19702,1847.157943748067
Order_No_6457,1567.474712561236
Order_No_6180,1816.2599348795065
Order_No_9305,1288.2166872901582
Order_No_16992,1494.5693617950046
Order_No_5873,1395.191733326063
Order_No_14553,1320.3308030999924
Order_No_4007,2621.93813307862
Order_No_13713,1634.9021285079073
Order_No_20690,919.0376331456558
Order_No_27131,1548.0867476161834
Order_No_17404,1363.3634979961016
Order_No_1121,1593.462520667611
Order_No_10915,1701.4206590999058
Order_No_7190,1320.7460020234037
Order_No_26054,728.9463211602738
Order_No_19459,1644.0124464790845
Order_No_11439,1971.1942970679459
Order_No_24422,1578.7905174342538
Order_No_10627,2820.4909868923314
Order_No_9507,1837.9318370831625
Order_No_9063,2163.166998741912
Order_No_15612,679.8602369247274
Order_No_20974,1528.3589144682421
Order_No_7106,1763.034988007918
Order_No_21900,917.9935422649138
Order_No_20501,2252.092304232871
Order_No_10649,1509.1320809220024
Order_No_14031,637.6222392679883
Order_No_26207,1468.2935646715714
Order_No_24879,1260.3725559887198
Order_No_26211,2060.4097258832967
Order_No_15163,1769.9928764977174
Order_No_8174,1501.0277265161228
Order_No_10670,1385.5135539695657
Order_No_1480,1426.7388128652124
Order_No_7556,2253.3454133780324
Order_No_21894,2010.9490564294563
Order_No_16903,1298.5342975494993
Order_No_20181,1285.0241732728612
Order_No_7301,693.6425226631038
Order_No_4814,885.1395186734015
Order_No_25817,1454.037757958704
Order_No_5155,896.5131078490896
Order_No_5658,1396.3892228990837
Order_No_7421,373.13080235040394
Order_No_18730,2208.1596858494527
Order_No_20915,942.5352451501589
Order_No_11317,565.0411499596929
Order_No_1571,1192.9339616275322
Order_No_13963,1175.8090044525482
Order_No_25600,2243.8327350096615
Order_No_653,2081.3955705947997
Order_No_21929,1411.8463021043042
Order_No_10722,1371.243084823676
Order_No_23724,1499.7117667698037
Order_No_16625,1354.6257528503027
Order_No_10125,965.0040378655057
Order_No_20308,1325.7986135466515
Order_No_4518,1211.9751305925588
Order_No_3406,565.3463044298383
Order_No_605,1775.8346170583025
Order_No_27507,1302.3703039251293
Order_No_9352,2088.186048314896
Order_No_12374,1315.8934598786952
Order_No_21981,435.03389762065353
Order_No_23293,449.31426452787247
Order_No_10595,1792.2137370786177
Order_No_14569,322.6414727739023
Order_No_22459,1284.7945634466166
Order_No_18244,724.0632327364194
Order_No_22006,692.3441845423489
Order_No_16555,578.415290764355
Order_No_15352,1266.158471254885
Order_No_6045,531.2022772152148
Order_No_5785,831.4474518066567
Order_No_25261,1412.1901953029876
Order_No_16004,1571.4791798526885
Order_No_4666,1241.6154067532143
Order_No_6848,1310.4685165653068
Order_No_16999,1851.1787994811134
Order_No_4454,1264.2867986570668
